Graph: Cycle size = 5, connecting vertices = 2
Time taken: lots of seconds. THESE RESULTS ARE NOT COMPLETE.
0 0 0 0 1 0 0 0 0 
2 0 0 0 0 0 0 0 0 
0 3 0 0 0 0 0 0 0 
0 0 4 0 0 0 0 0 0 
0 0 0 5 0 0 0 0 6 
0 0 0 0 7 0 0 0 0 
0 0 0 0 0 8 0 0 0 
0 0 0 0 0 0 9 0 0 
0 0 0 0 0 0 0 10 0
1: {1, 2, 9, 17, 14, 8, 5, 4, 3, 7, 13, 18, 16, 6, 19, 11, 10, 12, 15} Magic Number: 7
2: {1, 3, 6, 8, 5, 9, 7, 4, 2, 13, 17, 19, 18, 15, 14, 16, 12, 10, 11} Magic Number: 5
3: {1, 3, 9, 13, 7, 8, 5, 15, 2, 4, 10, 14, 12, 6, 16, 18, 17, 19, 11} Magic Number: 7
4: {1, 3, 9, 13, 7, 15, 2, 5, 8, 4, 10, 14, 12, 6, 17, 19, 11, 16, 18} Magic Number: 7
5: {1, 3, 16, 9, 5, 12, 11, 2, 4, 7, 13, 17, 8, 6, 18, 19, 14, 10, 15} Magic Number: 7
6: {1, 4, 16, 6, 5, 14, 17, 2, 7, 8, 15, 19, 11, 13, 10, 18, 12, 3, 9} Magic Number: 8
7: {1, 5, 4, 17, 9, 6, 8, 18, 13, 2, 10, 14, 19, 11, 3, 12, 15, 16, 7} Magic Number: 9
8: {1, 5, 4, 17, 16, 6, 9, 3, 2, 7, 13, 15, 18, 8, 19, 11, 12, 10, 14} Magic Number: 7
9: {1, 5, 4, 19, 3, 8, 11, 10, 2, 7, 13, 15, 18, 6, 14, 17, 16, 12, 9} Magic Number: 7
10: {1, 5, 12, 13, 2, 3, 7, 19, 10, 8, 15, 18, 14, 9, 4, 11, 16, 17, 6} Magic Number: 8
11: {1, 5, 12, 13, 7, 3, 2, 4, 16, 11, 17, 19, 14, 8, 9, 6, 10, 15, 18} Magic Number: 7
12: {1, 5, 19, 7, 14, 3, 13, 2, 17, 4, 12, 16, 6, 8, 10, 9, 15, 11, 18} Magic Number: 9
13: {1, 5, 19, 7, 16, 13, 17, 6, 15, 2, 12, 18, 10, 14, 4, 11, 9, 3, 8} Magic Number: 11
14: {1, 6, 4, 16, 8, 12, 3, 17, 5, 2, 9, 11, 15, 7, 13, 18, 14, 19, 10} Magic Number: 8
15: {1, 6, 4, 16, 8, 17, 5, 3, 12, 2, 9, 11, 15, 7, 14, 19, 10, 13, 18} Magic Number: 8
16: {1, 6, 9, 3, 2, 11, 4, 17, 10, 7, 13, 14, 12, 16, 5, 19, 15, 18, 8} Magic Number: 7
17: {1, 6, 9, 3, 11, 2, 4, 8, 19, 7, 13, 14, 12, 16, 5, 10, 15, 18, 17} Magic Number: 7
18: {1, 6, 9, 3, 11, 4, 8, 19, 2, 7, 13, 14, 12, 16, 10, 15, 18, 17, 5} Magic Number: 7
19: {1, 6, 12, 10, 2, 5, 18, 14, 4, 8, 15, 17, 13, 11, 7, 16, 19, 9, 3} Magic Number: 8
20: {1, 6, 12, 11, 3, 16, 2, 4, 8, 7, 13, 14, 9, 5, 17, 19, 10, 15, 18} Magic Number: 7
21: {1, 6, 15, 17, 7, 4, 11, 18, 2, 8, 16, 19, 13, 5, 10, 9, 14, 12, 3} Magic Number: 9
22: {1, 6, 15, 17, 8, 13, 5, 4, 3, 9, 16, 18, 11, 2, 19, 12, 7, 10, 14} Magic Number: 8
23: {1, 6, 19, 4, 9, 16, 5, 7, 14, 2, 10, 13, 3, 8, 12, 18, 11, 15, 17} Magic Number: 9
24: {1, 7, 8, 18, 10, 15, 2, 16, 13, 5, 14, 17, 19, 11, 3, 9, 4, 12, 6} Magic Number: 10
25: {1, 7, 8, 18, 16, 3, 5, 17, 6, 2, 10, 12, 13, 4, 14, 9, 15, 19, 11} Magic Number: 9
26: {1, 7, 12, 5, 9, 18, 15, 11, 3, 6, 14, 16, 13, 17, 8, 19, 10, 4, 2} Magic Number: 9
27: {1, 7, 19, 2, 3, 9, 13, 14, 4, 8, 15, 16, 5, 11, 10, 18, 17, 12, 6} Magic Number: 8
28: {1, 7, 19, 3, 4, 2, 9, 14, 13, 8, 15, 16, 5, 10, 6, 12, 18, 17, 11} Magic Number: 8
29: {1, 7, 19, 3, 4, 9, 14, 13, 2, 8, 15, 16, 5, 10, 12, 18, 17, 11, 6} Magic Number: 8
30: {1, 8, 7, 16, 17, 14, 5, 19, 3, 4, 13, 15, 18, 12, 9, 10, 6, 11, 2} Magic Number: 10
31: {1, 8, 7, 16, 18, 17, 13, 10, 9, 2, 12, 15, 19, 14, 6, 11, 5, 3, 4} Magic Number: 11
32: {1, 8, 15, 9, 17, 18, 5, 19, 7, 3, 13, 16, 12, 14, 6, 11, 4, 10, 2} Magic Number: 11
33: {1, 9, 18, 13, 7, 16, 14, 2, 19, 5, 15, 17, 10, 8, 4, 11, 6, 3, 12} Magic Number: 11
34: {1, 10, 3, 19, 9, 2, 6, 15, 16, 5, 13, 12, 18, 8, 4, 7, 14, 17, 11} Magic Number: 9
35: {1, 10, 3, 19, 9, 15, 16, 6, 2, 5, 13, 12, 18, 8, 14, 17, 11, 4, 7} Magic Number: 9
36: {1, 11, 18, 7, 10, 2, 5, 6, 12, 9, 16, 13, 3, 4, 15, 8, 14, 17, 19} Magic Number: 8
37: {1, 12, 6, 19, 15, 17, 11, 4, 5, 7, 16, 14, 18, 9, 13, 10, 3, 2, 8} Magic Number: 10
38: {1, 12, 18, 3, 9, 2, 6, 11, 19, 8, 16, 13, 4, 10, 5, 7, 14, 17, 15} Magic Number: 9
39: {1, 12, 18, 4, 10, 7, 19, 16, 3, 6, 15, 13, 5, 11, 9, 14, 17, 8, 2} Magic Number: 10
40: {1, 12, 18, 4, 14, 7, 5, 13, 16, 10, 19, 17, 9, 15, 2, 3, 6, 11, 8} Magic Number: 10
41: {1, 13, 6, 16, 10, 15, 3, 19, 7, 8, 17, 14, 18, 12, 5, 9, 4, 11, 2} Magic Number: 10
42: {1, 13, 6, 17, 7, 2, 16, 19, 9, 5, 14, 11, 15, 8, 4, 10, 18, 12, 3} Magic Number: 10
43: {1, 13, 6, 17, 15, 4, 5, 8, 12, 3, 11, 7, 10, 2, 16, 9, 14, 18, 19} Magic Number: 9
44: {1, 13, 6, 17, 18, 4, 19, 3, 9, 2, 11, 8, 12, 5, 15, 10, 16, 7, 14} Magic Number: 10
45: {1, 13, 17, 19, 8, 18, 11, 16, 5, 4, 15, 14, 9, 2, 10, 12, 6, 7, 3} Magic Number: 12
46: {1, 13, 18, 2, 7, 4, 6, 11, 19, 8, 16, 12, 3, 10, 5, 9, 14, 17, 15} Magic Number: 9
